City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Olopa,14.6833,-89.35,14.86,98,79,1.54,GT,1670236640
1,Yenagoa,4.9247,6.2642,34.35,48,62,0.6,NG,1670236640
2,Adrar,20.5022,-10.0711,28.02,18,0,1.1,MR,1670236641
3,Hermanus,-34.4187,19.2345,22.11,62,35,4.68,ZA,1670236578
4,Tasiilaq,65.6145,-37.6368,-1.91,76,96,2.43,GL,1670236641
5,Rikitea,-23.1203,-134.9692,23.71,82,81,2.72,PF,1670236459
6,Hambantota,6.1241,81.1185,28.19,89,40,1.54,LK,1670236642
7,Bafra,41.5678,35.9069,14.84,79,98,3.88,TR,1670236642
8,Wamba,8.9333,8.6,36.79,9,89,3.04,NG,1670236643
9,Albany,42.6001,-73.9662,-0.43,81,25,1.48,US,1670236522
10,Busselton,-33.65,115.3333,18.65,68,95,7.51,AU,1670236643
11,Hofn,64.2539,-15.2082,-0.99,74,0,1.54,IS,1670236644
12,Lázaro Cárdenas,17.9583,-102.2,23.28,85,0,1.68,MX,1670236644
13,Ponta do Sol,32.6667,-17.1,19.35,69,82,5.38,PT,1670236645
14,New Norfolk,-42.7826,147.0587,11.72,59,56,0.89,AU,1670236645
15,Rudnichnyy,59.617,52.4703,-13.88,97,20,0.76,RU,1670236646
16,Upington,-28.4478,21.2561,24.21,20,0,3.6,ZA,1670236646
17,Santa Cruz de Barahona,18.2085,-71.1008,20.3,81,0,3.93,DO,1670236646
18,Castro,-24.7911,-50.0119,19.97,91,100,2.67,BR,1670236647
19,Kangaatsiaq,68.3065,-53.4641,0.09,81,94,2.16,GL,1670236647
20,Arraial do Cabo,-22.9661,-42.0278,24.98,73,20,9.26,BR,1670236648
21,Kaitangata,-46.2817,169.8464,10.85,84,99,2.18,NZ,1670236648
22,Mehamn,71.0357,27.8492,-5.05,79,0,8.75,NO,1670236649
23,Barrow,71.2906,-156.7887,-6.99,86,40,15.43,US,1670236649
24,Upernavik,72.7868,-56.1549,-0.54,75,100,3.15,GL,1670236650
25,Hobart,-42.8794,147.3294,11.92,68,75,7.72,AU,1670236650
26,Yellowknife,62.456,-114.3525,-27.71,69,40,5.14,CA,1670236651
27,Vaini,-21.2,-175.2,25.09,94,75,5.66,TO,1670236651
28,Mar del Plata,-38.0023,-57.5575,21.02,91,0,4.02,AR,1670236651
29,Woodstock,43.1334,-80.7497,-0.66,68,7,5.81,CA,1670236652
30,Orlik,52.5178,99.825,-25.47,85,1,1.17,RU,1670236652
31,São João da Barra,-21.6403,-41.0511,24.05,81,100,7.44,BR,1670236653
32,Esperance,-33.8667,121.9,16.84,80,100,6.7,AU,1670236653
33,Hualmay,-11.0964,-77.6139,17.95,90,22,1.91,PE,1670236653
34,Kumluca,36.3703,30.2869,18.58,58,0,2.38,TR,1670236654
35,Bredasdorp,-34.5322,20.0403,21.43,45,69,4.95,ZA,1670236655
36,Inuvik,68.3499,-133.7218,-22.52,57,0,5.14,CA,1670236655
37,Saint George,37.1041,-113.5841,9.33,68,40,1.54,US,1670236655
38,Bluff,-46.6,168.3333,10.45,95,100,1.13,NZ,1670236656
39,Cidreira,-30.1811,-50.2056,22.69,93,69,3.09,BR,1670236656
40,Vardø,70.3705,31.1107,-4.01,80,100,8.75,NO,1670236657
41,Omboué,-1.5746,9.2618,30.91,62,85,1.77,GA,1670236657
42,Bemidji,47.4736,-94.8803,-6.72,92,0,0.0,US,1670236575
